ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
eng,English,,53.0,-1.0,stan1293,
spa,Spanish,,40.4414,-1.11788,stan1288,
deu,German,,48.649,12.4676,stan1295,
zho,Chinese,,40.0209,116.228,mand1415,
fra,French,,48.0,2.0,stan1290,
nld,Dutch,,52.0,5.0,dutc1256,
pol,Polish,,51.8439,18.6255,poli1260,
tur,Turkish,,39.8667,32.8667,nucl1301,
afr,Afrikaans,,-22.0,30.0,afri1274,
cat,Catalan,,41.453,1.569,stan1289,
dan,Danish,,54.8655,9.36284,dani1285,
fin,Finnish,,64.7628,25.5577,finn1318,
ell,Modern Greek (1453-),,38.36,23.13,mode1248,
heb,Hebrew,,31.1056,35.0179,hebr1245,
hun,Hungarian,,46.9068585714,19.6555271429,hung1274,
isl,Icelandic,,63.4837,-19.0212,icel1247,
gle,Irish,,53.2186,-7.61509,iris1253,
xho,Xhosa,,-31.0389,28.0769,xhos1239,
ita,Italian,,43.0464,12.6489,ital1282,
lit,Lithuanian,,55.1429,23.9601,lith1251,
ltz,Luxembourgish,,49.6839,6.14931,luxe1241,
mlt,Maltese,,35.8884,14.4508,malt1254,
rus,Russian,,59.0,50.0,russ1263,
srp,Serbian,,44.3238,21.9192,serb1264,
slk,Slovak,,48.545705,18.78479,slov1269,
swe,Swedish,,59.800634,17.389526,swed1254,
ces,Czech,,49.873398,15.10437,czec1258,
gla,Scottish Gaelic,,56.7574,-5.24366,scot1245,
ara,Arabic,,27.9625,43.8525,stan1318,
msa,Malay (macrolanguage),,-6.18,146.4,sara1323,
fas,Persian,,32.9,53.3,west2369,
hye,Armenian,,40.0,45.0,nucl1235,
por,Portuguese,,39.91,-8.1,port1283,
swa,Swahili (macrolanguage),,-8.25605,37.624,swah1253,
est,Estonian,,58.55,25.82,esto1258,
eus,Basque,,43.2787,-1.31622,basq1248,
mri,Maori,,-38.2881,176.541,maor1246,
tpi,Tok Pisin,,-9.41971,147.303,tokp1240,
cym,Welsh,,52.0,-4.0,wels1247,
